[0.000000] (-) TimerEvent: {}
[0.000278] (-) JobUnselected: {'identifier': 'my_robot_bringup'}
[0.000384] (-) JobUnselected: {'identifier': 'my_robot_description'}
[0.000409] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000430] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000450] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000470] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000491] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000510] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.000530] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000549] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000568] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000587] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000607] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000626] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000645] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000665] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000684] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000703] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000721] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000742] (-) EventReactorShutdown: {}
